x1,x2,x3,x4,y1,y2,y3,y4,q1,q2,q3,q4
338,179,400,284,114,190,244,291,99,53,96,22
283,71,385,154,6,70,130,165,106,68,83,23
316,79,400,157,6,70,130,165,107,61,77,21
280,193,388,281,6,70,130,165,101,51,104,23
256,90,371,196,6,70,130,165,99,72,97,24
293,174,400,288,6,70,130,165,94,60,106,22
247,27,337,101,6,70,130,165,119,71,71,23
229,54,391,204,151,23,369,215,87,78,108,24
320,118,399,244,138,121,292,250,90,65,100,20
218,81,342,186,7,62,177,200,105,76,99,24
272,88,362,157,0,84,65,176,110,59,74,22
300,190,400,320,169,189,346,329,92,58,113,22
288,9,389,91,1,4,111,97,113,73,71,23
193,192,292,276,0,204,89,313,109,55,113,21
185,193,286,282,0,205,102,326,106,56,118,22
184,193,286,283,0,204,104,327,82,57,117,21
184,192,288,284,0,205,106,327,110,69,63,20
245,76,348,158,0,66,110,169,111,72,90,24
191,193,314,311,68,194,274,355,91,62,118,20
323,0,400,69,25,0,130,78,112,69,63,22
234,196,333,276,0,209,103,313,107,51,104,20
255,54,360,140,0,48,114,147,108,74,86,24
210,127,328,238,36,119,211,261,103,70,107,22
286,195,399,325,163,199,342,331,87,58,116,21
156,88,264,182,0,54,78,194,113,77,102,20
233,81,377,231,147,60,358,244,87,76,111,21
211,128,349,265,135,107,357,286,87,72,114,22
170,158,265,243,0,154,60,283,114,63,105,24
306,130,397,207,33,136,147,221,104,57,87,22
221,194,328,289,1,206,157,323,108,53,117,21
220,198,316,277,0,208,89,311,113,51,110,24
267,194,392,299,60,207,205,314,104,52,113,24
227,98,353,214,60,82,236,229,102,74,106,23
110,139,228,262,0,109,228,371,97,73,118,23
224,120,316,198,0,112,62,211,117,64,92,24
271,181,387,277,52,192,194,298,99,56,102,21
130,140,242,259,0,118,183,310,106,71,116,22
284,125,372,190,0,127,88,206,115,53,78,22
196,192,290,276,0,206,69,318,114,57,108,20
278,24,397,143,100,31,254,152,94,78,96,21
277,197,394,290,42,208,180,307,101,51,107,22
304,1,400,98,64,3,191,105,105,78,84,24
294,14,397,112,54,16,184,120,106,77,84,21
228,128,358,252,97,118,288,272,90,69,112,24
136,120,263,258,98,82,369,285,94,76,118,22
259,31,352,110,0,20,80,115,115,71,77,23
201,146,319,265,59,142,255,294,94,67,113,21
180,180,298,303,48,181,252,347,97,64,117,24
180,179,300,302,122,8,255,116,97,78,86,23
214,192,316,282,0,206,122,319,105,55,112,21
200,59,310,157,0,32,128,161,106,78,98,22
215,175,316,263,0,184,114,298,112,59,103,21
314,111,399,229,143,122,297,240,92,67,101,21
256,34,366,126,4,20,138,128,111,77,86,22
123,92,229,201,0,31,123,220,109,78,112,24
235,198,337,284,1,208,133,315,104,50,115,20
131,123,244,238,0,101,165,272,101,74,115,23
283,198,398,307,122,207,285,328,92,50,118,20
308,117,399,212,79,126,210,226,98,64,95,20
290,7,397,116,67,14,208,121,103,78,89,21
207,114,314,205,0,108,120,225,112,70,100,24
172,162,274,258,0,160,108,298,113,63,109,22
313,122,399,206,50,131,165,218,102,58,89,20
245,109,354,202,11,109,160,219,103,68,98,21
296,1,398,96,43,3,168,102,103,77,81,24
190,190,303,305,36,193,229,345,101,61,119,22
294,52,399,207,217,51,400,211,83,77,105,22
255,195,368,294,50,206,204,314,103,53,113,20
250,41,399,200,184,48,395,208,92,78,107,24
285,128,388,207,12,134,131,222,108,58,88,20
254,97,373,200,59,90,214,215,105,72,99,22
145,187,245,288,0,199,88,345,111,60,117,23
321,77,398,149,22,85,125,160,107,59,73,21
110,176,211,282,0,162,105,344,110,66,118,20
318,0,399,63,0,0,89,72,114,60,51,20
201,62,333,187,47,37,244,201,102,78,106,24
292,67,390,150,10,73,125,159,113,66,81,24
142,92,264,194,0,52,95,210,113,77,106,23
124,123,230,220,0,80,73,252,107,74,109,24
269,140,368,216,0,146,105,233,110,54,88,20
317,84,399,167,55,90,170,179,108,63,85,24
311,195,400,314,141,205,296,319,88,57,111,24
230,189,355,319,114,194,310,343,88,63,115,21
216,138,304,212,0,130,47,233,119,60,93,21
181,124,276,206,0,99,39,243,117,68,97,22
143,127,264,247,35,79,275,278,93,76,116,20
142,101,286,258,145,74,400,279,89,77,118,24
188,122,307,238,28,106,225,261,102,72,111,24
329,21,399,112,72,28,190,120,102,74,78,21
295,71,389,153,15,75,132,162,110,66,81,20
288,116,399,269,223,114,400,272,81,72,111,22
337,32,400,114,44,46,150,124,110,64,71,24
248,195,370,303,68,206,228,326,97,54,118,23
207,122,313,216,0,114,129,238,103,67,102,22
193,158,301,254,0,158,141,305,102,63,108,23
234,176,334,260,0,187,113,291,112,58,100,23
269,193,396,305,106,203,270,324,90,58,111,24
248,125,383,243,102,119,280,258,95,69,107,24
189,139,327,280,133,114,369,303,95,71,116,20
257,142,372,242,53,147,204,262,105,66,102,21
206,167,316,277,20,171,199,307,106,61,112,22
208,179,325,290,43,185,226,320,104,60,113,24
228,186,323,259,0,195,61,289,109,51,95,24
272,91,394,210,125,76,299,224,92,70,103,24
245,195,349,283,11,207,156,312,108,53,112,23
257,109,353,188,0,107,103,200,107,64,89,21
282,56,394,172,105,56,264,182,100,76,97,23
280,111,398,225,104,114,264,239,97,67,102,23
276,68,379,141,0,62,95,151,113,65,78,21
242,57,363,161,45,46,199,171,99,77,97,23
246,72,399,226,198,57,400,237,89,77,111,22
175,117,308,242,88,76,323,261,89,75,115,21
263,194,387,299,72,206,227,321,103,52,111,21
214,93,313,177,0,78,65,187,114,70,93,20
253,81,363,173,9,77,149,186,110,72,95,24
254,73,399,223,175,66,380,233,93,76,109,24
271,128,364,195,0,128,75,212,109,56,81,23
200,119,303,208,0,106,109,227,112,69,102,22
230,197,330,279,0,212,115,311,112,50,113,22
202,191,302,283,0,203,119,323,105,58,110,21
283,194,396,290,104,204,256,316,99,56,111,20
172,128,283,227,0,108,122,256,110,69,107,20
182,189,287,287,0,202,106,328,111,58,111,22
175,188,280,287,0,202,104,331,109,59,113,23
199,125,330,261,111,104,332,285,91,72,114,23
200,92,312,195,0,76,157,208,104,72,103,22
275,0,376,80,0,0,105,80,113,77,73,21
205,141,303,224,0,139,90,254,110,63,99,20
244,144,340,221,0,146,90,244,107,58,93,23
192,190,293,283,0,205,105,324,112,57,113,20
244,139,338,217,0,138,89,236,115,60,92,24
104,92,235,236,6,48,287,260,100,79,118,22
233,116,329,191,0,110,67,207,109,61,91,20
308,143,400,272,201,147,384,285,82,68,110,23
232,108,325,187,0,101,75,207,115,64,93,24
117,127,226,223,0,93,51,262,109,73,111,24
227,129,326,211,0,124,89,236,108,63,96,24
184,196,277,279,0,197,45,324,117,51,117,21
318,120,399,245,168,126,330,251,88,68,106,22
278,196,393,291,51,208,186,308,106,52,105,22
118,162,225,274,0,146,150,328,108,68,118,23
252,175,390,305,142,176,335,321,87,65,113,20
222,58,367,201,126,34,335,208,93,79,110,20
281,193,394,293,101,206,254,314,99,54,109,24
228,89,376,227,128,67,333,240,89,76,110,21
296,92,399,206,122,99,276,218,95,70,99,23
265,66,358,144,0,61,89,151,114,68,81,22
